operator_addr,balance
evmosvaloper1r0q7zg2kxehn5aw9l3dntgtt5mh7j727h7fnuz, 5.357142857
evmosvaloper1p5650lhupzf9wllenm5nwpl4mycj9p4dceg7g6, 5.357142857
evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4, 5.357142857
evmosvaloper1z8gn6dmcjv8uph2snz2qcq9jflqdkcy2qudkpz, 5.357142857
evmosvaloper1can8lfdushdmp8z9zm82dmpt6gz3r2rsxrs8gw, 5.357142857
evmosvaloper1kw03prf96w5rrj53pvhdnmsnr469dn9gqmsqwg, 5.357142857
evmosvaloper1m2h0neyc2zjep2072cqhakmt5qsxwvppsuhll3, 5.357142857
evmosvaloper1vw7k3z99swlv7svjmnrrqvu6zdmatqhvzuz7lu, 5.357142857
evmosvaloper1y96y6awujpq8sz4vd2rvejxs25mhrs6fqt0lkv, 5.357142857
evmosvaloper1jxruqmfurgxrem4phvaqxkvprxa6fr0ncg3t88, 5.357142857
evmosvaloper1sq9ggymzx02vcp7kf6yyar83scfm4r22swu673, 5.357142857
evmosvaloper1kf44guytqa49v0d5wr6933xwap7kdkdcw3892n, 5.357142857
evmosvaloper1ewy85dtectk68z6cnpt6vmkgsqwkwttgtpejzh, 5.357142857
evmosvaloper10pcga9su5me3dp5g4jln49uxjq7c9s2u9qy9zu, 5.357142857
evmosvaloper1vs0vvzpudrattan5pqs9caa38uavj4679rt5pn, 5.357142857
evmosvaloper1g9rcsa8sr6utp073pdtvqg5xvynv00vshrh5gu, 5.357142857
evmosvaloper15fezptqfn3rmxtl4006ze9plealy4w9xdfamnv, 5.357142857
evmosvaloper1rq0r53s3wg4854n05tg0hrw5u3jaqlw483z0pg, 5.357142857
evmosvaloper15zgjlh6aqrc36nuvwwnpvmgq8vjqkvsydmun5u, 5.357142857
evmosvaloper1j6zuz54sum48ylpzjqt4jugjmr4lw6srudv7c4, 5.357142857
evmosvaloper13h9qxch4r8ep2x8ynwlmcvcl6h902zg5elznhq, 5.357142857
